"time","Heater1.Pout","Heater1.Q","Heater1.Tdel","Heater1.Tout","Heater1.xvapin","Heater1.xvapout","MaterialStream1.Cp_p[1]","MaterialStream1.Cp_p[2]","MaterialStream1.Cp_p[3]","MaterialStream1.Cp_pc[1,1]","MaterialStream1.Cp_pc[1,2]","MaterialStream1.Cp_pc[2,1]","MaterialStream1.Cp_pc[2,2]","MaterialStream1.Cp_pc[3,1]","MaterialStream1.Cp_pc[3,2]","MaterialStream1.Cpres_p[1]","MaterialStream1.Cpres_p[2]","MaterialStream1.Cpres_p[3]","MaterialStream1.F_p[1]","MaterialStream1.F_p[2]","MaterialStream1.F_p[3]","MaterialStream1.F_pc[1,1]","MaterialStream1.F_pc[1,2]","MaterialStream1.F_pc[2,1]","MaterialStream1.F_pc[2,2]","MaterialStream1.F_pc[3,1]","MaterialStream1.F_pc[3,2]","MaterialStream1.Fm_p[1]","MaterialStream1.Fm_p[2]","MaterialStream1.Fm_p[3]","MaterialStream1.Fm_pc[1,1]","MaterialStream1.Fm_pc[1,2]","MaterialStream1.Fm_pc[2,1]","MaterialStream1.Fm_pc[2,2]","MaterialStream1.Fm_pc[3,1]","MaterialStream1.Fm_pc[3,2]","MaterialStream1.H_p[1]","MaterialStream1.H_p[2]","MaterialStream1.H_p[3]","MaterialStream1.H_pc[1,1]","MaterialStream1.H_pc[1,2]","MaterialStream1.H_pc[2,1]","MaterialStream1.H_pc[2,2]","MaterialStream1.H_pc[3,1]","MaterialStream1.H_pc[3,2]","MaterialStream1.Hres_p[1]","MaterialStream1.Hres_p[2]","MaterialStream1.Hres_p[3]","MaterialStream1.K_c[1]","MaterialStream1.K_c[2]","MaterialStream1.MW_p[1]","MaterialStream1.MW_p[2]","MaterialStream1.MW_p[3]","MaterialStream1.P","MaterialStream1.Pbubl","MaterialStream1.Pdew","MaterialStream1.Pvap_c[1]","MaterialStream1.Pvap_c[2]","MaterialStream1.S_p[1]","MaterialStream1.S_p[2]","MaterialStream1.S_p[3]","MaterialStream1.S_pc[1,1]","MaterialStream1.S_pc[1,2]","MaterialStream1.S_pc[2,1]","MaterialStream1.S_pc[2,2]","MaterialStream1.S_pc[3,1]","MaterialStream1.S_pc[3,2]","MaterialStream1.Sres_p[1]","MaterialStream1.Sres_p[2]","MaterialStream1.Sres_p[3]","MaterialStream1.T","MaterialStream1.gma_c[1]","MaterialStream1.gma_c[2]","MaterialStream1.gmabubl_c[1]","MaterialStream1.gmabubl_c[2]","MaterialStream1.gmadew_c[1]","MaterialStream1.gmadew_c[2]","MaterialStream1.philiqbubl_c[1]","MaterialStream1.philiqbubl_c[2]","MaterialStream1.phivapdew_c[1]","MaterialStream1.phivapdew_c[2]","MaterialStream1.x_pc[1,1]","MaterialStream1.x_pc[1,2]","MaterialStream1.x_pc[2,1]","MaterialStream1.x_pc[2,2]","MaterialStream1.x_pc[3,1]","MaterialStream1.x_pc[3,2]","MaterialStream1.xliq","MaterialStream1.xm_pc[1,1]","MaterialStream1.xm_pc[1,2]","MaterialStream1.xm_pc[2,1]","MaterialStream1.xm_pc[2,2]","MaterialStream1.xm_pc[3,1]","MaterialStream1.xm_pc[3,2]","MaterialStream1.xmliq","MaterialStream1.xmvap","MaterialStream2.Cp_p[1]","MaterialStream2.Cp_p[2]","MaterialStream2.Cp_p[3]","MaterialStream2.Cp_pc[1,1]","MaterialStream2.Cp_pc[1,2]","MaterialStream2.Cp_pc[2,1]","MaterialStream2.Cp_pc[2,2]","MaterialStream2.Cp_pc[3,1]","MaterialStream2.Cp_pc[3,2]","MaterialStream2.Cpres_p[1]","MaterialStream2.Cpres_p[2]","MaterialStream2.Cpres_p[3]","MaterialStream2.F_p[2]","MaterialStream2.F_p[3]","MaterialStream2.F_pc[1,1]","MaterialStream2.F_pc[1,2]","MaterialStream2.F_pc[2,1]","MaterialStream2.F_pc[2,2]","MaterialStream2.F_pc[3,1]","MaterialStream2.F_pc[3,2]","MaterialStream2.Fm_p[1]","MaterialStream2.Fm_p[2]","MaterialStream2.Fm_p[3]","MaterialStream2.Fm_pc[1,1]","MaterialStream2.Fm_pc[1,2]","MaterialStream2.Fm_pc[2,1]","MaterialStream2.Fm_pc[2,2]","MaterialStream2.Fm_pc[3,1]","MaterialStream2.Fm_pc[3,2]","MaterialStream2.H_p[1]","MaterialStream2.H_p[2]","MaterialStream2.H_p[3]","MaterialStream2.H_pc[1,1]","MaterialStream2.H_pc[1,2]","MaterialStream2.H_pc[2,1]","MaterialStream2.H_pc[2,2]","MaterialStream2.H_pc[3,1]","MaterialStream2.H_pc[3,2]","MaterialStream2.Hres_p[1]","MaterialStream2.Hres_p[2]","MaterialStream2.Hres_p[3]","MaterialStream2.K_c[1]","MaterialStream2.K_c[2]","MaterialStream2.MW_p[1]","MaterialStream2.MW_p[2]","MaterialStream2.MW_p[3]","MaterialStream2.Pbubl","MaterialStream2.Pdew","MaterialStream2.Pvap_c[1]","MaterialStream2.Pvap_c[2]","MaterialStream2.S_p[1]","MaterialStream2.S_p[2]","MaterialStream2.S_p[3]","MaterialStream2.S_pc[1,1]","MaterialStream2.S_pc[1,2]","MaterialStream2.S_pc[2,1]","MaterialStream2.S_pc[2,2]","MaterialStream2.S_pc[3,1]","MaterialStream2.S_pc[3,2]","MaterialStream2.Sres_p[1]","MaterialStream2.Sres_p[2]","MaterialStream2.Sres_p[3]","MaterialStream2.gma_c[1]","MaterialStream2.gma_c[2]","MaterialStream2.gmabubl_c[1]","MaterialStream2.gmabubl_c[2]","MaterialStream2.gmadew_c[1]","MaterialStream2.gmadew_c[2]","MaterialStream2.philiqbubl_c[1]","MaterialStream2.philiqbubl_c[2]","MaterialStream2.phivapdew_c[1]","MaterialStream2.phivapdew_c[2]","MaterialStream2.x_pc[1,1]","MaterialStream2.x_pc[1,2]","MaterialStream2.x_pc[2,1]","MaterialStream2.x_pc[2,2]","MaterialStream2.x_pc[3,1]","MaterialStream2.x_pc[3,2]","MaterialStream2.xliq","MaterialStream2.xm_pc[1,1]","MaterialStream2.xm_pc[1,2]","MaterialStream2.xm_pc[2,1]","MaterialStream2.xm_pc[2,2]","MaterialStream2.xm_pc[3,1]","MaterialStream2.xm_pc[3,2]","MaterialStream2.xmliq","MaterialStream2.xmvap","Heater1.En.Q","Heater1.Fin","Heater1.Fout","Heater1.Hin","Heater1.Hout","Heater1.In.F","Heater1.In.H","Heater1.In.P","Heater1.In.S","Heater1.In.T","Heater1.In.x_pc[1,1]","Heater1.In.x_pc[1,2]","Heater1.In.x_pc[2,1]","Heater1.In.x_pc[2,2]","Heater1.In.x_pc[3,1]","Heater1.In.x_pc[3,2]","Heater1.In.xvap","Heater1.Out.F","Heater1.Out.H","Heater1.Out.P","Heater1.Out.S","Heater1.Out.T","Heater1.Out.x_pc[1,1]","Heater1.Out.x_pc[1,2]","Heater1.Out.x_pc[2,1]","Heater1.Out.x_pc[2,2]","Heater1.Out.x_pc[3,1]","Heater1.Out.x_pc[3,2]","Heater1.Out.xvap","Heater1.Pin","Heater1.Tin","Heater1.x_c[1]","Heater1.x_c[2]","MaterialStream1.In.F","MaterialStream1.In.H","MaterialStream1.In.P","MaterialStream1.In.S","MaterialStream1.In.T","MaterialStream1.In.x_pc[1,1]","MaterialStream1.In.x_pc[1,2]","MaterialStream1.In.x_pc[2,1]","MaterialStream1.In.x_pc[2,2]","MaterialStream1.In.x_pc[3,1]","MaterialStream1.In.x_pc[3,2]","MaterialStream1.In.xvap","MaterialStream1.Out.F","MaterialStream1.Out.H","MaterialStream1.Out.P","MaterialStream1.Out.S","MaterialStream1.Out.T","MaterialStream1.Out.x_pc[1,1]","MaterialStream1.Out.x_pc[1,2]","MaterialStream1.Out.x_pc[2,1]","MaterialStream1.Out.x_pc[2,2]","MaterialStream1.Out.x_pc[3,1]","MaterialStream1.Out.x_pc[3,2]","MaterialStream1.Out.xvap","MaterialStream1.xvap","MaterialStream2.F_p[1]","MaterialStream2.In.F","MaterialStream2.In.H","MaterialStream2.In.P","MaterialStream2.In.S","MaterialStream2.In.T","MaterialStream2.In.x_pc[1,1]","MaterialStream2.In.x_pc[1,2]","MaterialStream2.In.x_pc[2,1]","MaterialStream2.In.x_pc[2,2]","MaterialStream2.In.x_pc[3,1]","MaterialStream2.In.x_pc[3,2]","MaterialStream2.In.xvap","MaterialStream2.Out.F","MaterialStream2.Out.H","MaterialStream2.Out.P","MaterialStream2.Out.S","MaterialStream2.Out.T","MaterialStream2.Out.x_pc[1,1]","MaterialStream2.Out.x_pc[1,2]","MaterialStream2.Out.x_pc[2,1]","MaterialStream2.Out.x_pc[2,2]","MaterialStream2.Out.x_pc[3,1]","MaterialStream2.Out.x_pc[3,2]","MaterialStream2.Out.xvap","MaterialStream2.P","MaterialStream2.T","MaterialStream2.xvap"
0,101325,3654349.549870415,30,380,0,1,160.3941502813088,160.3941502813088,0,80.19707514065439,80.19707514065439,148.6872947108441,172.1010058517735,98.53043294505326,123.246799547162,0,0,0,100,100,0,50,50,50,50,0,0,8512.75,8512.75,0,3905.7,4607.05,3905.7,4607.05,0,0,-27767.44847630256,-27767.44847630256,0,-13883.72423815128,-13883.72423815128,-26249.33688867045,-29285.56006393467,4698.796768758291,5911.186908714147,0,0,0,0.9016816028316629,0.3384809266318566,85.1275,85.1275,0,101325,62829.73414894556,49871.84242877299,91362.88840691824,34296.57989097287,-72.36200508042109,-72.36200508042109,0,-36.18100254021054,-36.18100254021054,-68.1642609202149,-76.55974924062726,0,0,0,0,0,350,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0,0,1,0.4588059087838831,0.5411940912161171,0.4588059087838831,0.5411940912161171,-0,-0,1,0,120.4517517893713,0,120.4517517893713,60.22587589468566,60.22587589468566,156.2564223920831,182.5291768368001,107.3306487402457,133.5728548384969,0,0,0,0,100,50,50,0,0,50,50,8512.75,0,8512.75,3905.7,4607.05,0,0,3905.7,4607.05,8776.047022401586,-0,8776.047022401586,4388.023511200793,4388.023511200793,-21359.44550018291,-23675.44154362287,7787.638100271181,9764.455944531992,0,0,0,2.127616923133473,0.9010118921025748,85.1275,0,85.1275,153437.9073518963,128269.829421967,215580.7847364991,91295.02996729339,31.63998993818516,0,31.63998993818516,15.81999496909258,15.81999496909258,0,0,28.72091477143166,34.55906510493865,0,0,0,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0,0,0.5,0.5,0,0.4588059087838831,0.5411940912161171,-0,-0,0.4588059087838831,0.5411940912161171,0,1,3654349.549870415,100,100,-27767.44847630256,8776.047022401586,100,-27767.44847630256,101325,-72.36200508042109,350,0.5,0.5,0.5,0.5,0,0,0,100,8776.047022401586,101325,31.63998993818516,380,0.5,0.5,0,0,0.5,0.5,1,101325,350,0.5,0.5,100,-27767.44847630256,101325,-72.36200508042109,350,0.5,0.5,0.5,0.5,0,0,0,100,-27767.44847630256,101325,-72.36200508042109,350,0.5,0.5,0.5,0.5,0,0,0,0,100,100,8776.047022401586,101325,31.63998993818516,380,0.5,0.5,0,0,0.5,0.5,1,100,8776.047022401586,101325,31.63998993818516,380,0.5,0.5,0,0,0.5,0.5,1,101325,380,1
1,101325,3654349.549870415,30,380,0,1,160.3941502813088,160.3941502813088,0,80.19707514065439,80.19707514065439,148.6872947108441,172.1010058517735,98.53043294505326,123.246799547162,0,0,0,100,100,0,50,50,50,50,0,0,8512.75,8512.75,0,3905.7,4607.05,3905.7,4607.05,0,0,-27767.44847630256,-27767.44847630256,0,-13883.72423815128,-13883.72423815128,-26249.33688867045,-29285.56006393467,4698.796768758291,5911.186908714147,0,0,0,0.9016816028316629,0.3384809266318566,85.1275,85.1275,0,101325,62829.73414894556,49871.84242877299,91362.88840691824,34296.57989097287,-72.36200508042109,-72.36200508042109,0,-36.18100254021054,-36.18100254021054,-68.1642609202149,-76.55974924062726,0,0,0,0,0,350,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0,0,1,0.4588059087838831,0.5411940912161171,0.4588059087838831,0.5411940912161171,-0,-0,1,0,120.4517517893713,0,120.4517517893713,60.22587589468566,60.22587589468566,156.2564223920831,182.5291768368001,107.3306487402457,133.5728548384969,0,0,0,0,100,50,50,0,0,50,50,8512.75,0,8512.75,3905.7,4607.05,0,0,3905.7,4607.05,8776.047022401586,-0,8776.047022401586,4388.023511200793,4388.023511200793,-21359.44550018291,-23675.44154362287,7787.638100271181,9764.455944531992,0,0,0,2.127616923133473,0.9010118921025748,85.1275,0,85.1275,153437.9073518963,128269.829421967,215580.7847364991,91295.02996729339,31.63998993818516,0,31.63998993818516,15.81999496909258,15.81999496909258,0,0,28.72091477143166,34.55906510493865,0,0,0,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0,0,0.5,0.5,0,0.4588059087838831,0.5411940912161171,-0,-0,0.4588059087838831,0.5411940912161171,0,1,3654349.549870415,100,100,-27767.44847630256,8776.047022401586,100,-27767.44847630256,101325,-72.36200508042109,350,0.5,0.5,0.5,0.5,0,0,0,100,8776.047022401586,101325,31.63998993818516,380,0.5,0.5,0,0,0.5,0.5,1,101325,350,0.5,0.5,100,-27767.44847630256,101325,-72.36200508042109,350,0.5,0.5,0.5,0.5,0,0,0,100,-27767.44847630256,101325,-72.36200508042109,350,0.5,0.5,0.5,0.5,0,0,0,0,100,100,8776.047022401586,101325,31.63998993818516,380,0.5,0.5,0,0,0.5,0.5,1,100,8776.047022401586,101325,31.63998993818516,380,0.5,0.5,0,0,0.5,0.5,1,101325,380,1
1,101325,3654349.549870415,30,380,0,1,160.3941502813088,160.3941502813088,0,80.19707514065439,80.19707514065439,148.6872947108441,172.1010058517735,98.53043294505326,123.246799547162,0,0,0,100,100,0,50,50,50,50,0,0,8512.75,8512.75,0,3905.7,4607.05,3905.7,4607.05,0,0,-27767.44847630256,-27767.44847630256,0,-13883.72423815128,-13883.72423815128,-26249.33688867045,-29285.56006393467,4698.796768758291,5911.186908714147,0,0,0,0.9016816028316629,0.3384809266318566,85.1275,85.1275,0,101325,62829.73414894556,49871.84242877299,91362.88840691824,34296.57989097287,-72.36200508042109,-72.36200508042109,0,-36.18100254021054,-36.18100254021054,-68.1642609202149,-76.55974924062726,0,0,0,0,0,350,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0,0,1,0.4588059087838831,0.5411940912161171,0.4588059087838831,0.5411940912161171,-0,-0,1,0,120.4517517893713,0,120.4517517893713,60.22587589468566,60.22587589468566,156.2564223920831,182.5291768368001,107.3306487402457,133.5728548384969,0,0,0,0,100,50,50,0,0,50,50,8512.75,0,8512.75,3905.7,4607.05,0,0,3905.7,4607.05,8776.047022401586,-0,8776.047022401586,4388.023511200793,4388.023511200793,-21359.44550018291,-23675.44154362287,7787.638100271181,9764.455944531992,0,0,0,2.127616923133473,0.9010118921025748,85.1275,0,85.1275,153437.9073518963,128269.829421967,215580.7847364991,91295.02996729339,31.63998993818516,0,31.63998993818516,15.81999496909258,15.81999496909258,0,0,28.72091477143166,34.55906510493865,0,0,0,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0,0,0.5,0.5,0,0.4588059087838831,0.5411940912161171,-0,-0,0.4588059087838831,0.5411940912161171,0,1,3654349.549870415,100,100,-27767.44847630256,8776.047022401586,100,-27767.44847630256,101325,-72.36200508042109,350,0.5,0.5,0.5,0.5,0,0,0,100,8776.047022401586,101325,31.63998993818516,380,0.5,0.5,0,0,0.5,0.5,1,101325,350,0.5,0.5,100,-27767.44847630256,101325,-72.36200508042109,350,0.5,0.5,0.5,0.5,0,0,0,100,-27767.44847630256,101325,-72.36200508042109,350,0.5,0.5,0.5,0.5,0,0,0,0,100,100,8776.047022401586,101325,31.63998993818516,380,0.5,0.5,0,0,0.5,0.5,1,100,8776.047022401586,101325,31.63998993818516,380,0.5,0.5,0,0,0.5,0.5,1,101325,380,1
