"time","MaterialStream1.Cp_p[1]","MaterialStream1.Cp_p[2]","MaterialStream1.Cp_p[3]","MaterialStream1.Cp_pc[1,1]","MaterialStream1.Cp_pc[1,2]","MaterialStream1.Cp_pc[2,1]","MaterialStream1.Cp_pc[2,2]","MaterialStream1.Cp_pc[3,1]","MaterialStream1.Cp_pc[3,2]","MaterialStream1.Cpres_p[1]","MaterialStream1.Cpres_p[2]","MaterialStream1.Cpres_p[3]","MaterialStream1.F_p[1]","MaterialStream1.F_p[2]","MaterialStream1.F_p[3]","MaterialStream1.F_pc[1,1]","MaterialStream1.F_pc[1,2]","MaterialStream1.F_pc[2,1]","MaterialStream1.F_pc[2,2]","MaterialStream1.F_pc[3,1]","MaterialStream1.F_pc[3,2]","MaterialStream1.Fm_p[1]","MaterialStream1.Fm_p[2]","MaterialStream1.Fm_p[3]","MaterialStream1.Fm_pc[1,1]","MaterialStream1.Fm_pc[1,2]","MaterialStream1.Fm_pc[2,1]","MaterialStream1.Fm_pc[2,2]","MaterialStream1.Fm_pc[3,1]","MaterialStream1.Fm_pc[3,2]","MaterialStream1.H_p[1]","MaterialStream1.H_p[2]","MaterialStream1.H_p[3]","MaterialStream1.H_pc[1,1]","MaterialStream1.H_pc[1,2]","MaterialStream1.H_pc[2,1]","MaterialStream1.H_pc[2,2]","MaterialStream1.H_pc[3,1]","MaterialStream1.H_pc[3,2]","MaterialStream1.Hres_p[1]","MaterialStream1.Hres_p[2]","MaterialStream1.Hres_p[3]","MaterialStream1.K_c[1]","MaterialStream1.K_c[2]","MaterialStream1.MW_p[1]","MaterialStream1.MW_p[2]","MaterialStream1.MW_p[3]","MaterialStream1.P","MaterialStream1.Pbubl","MaterialStream1.Pdew","MaterialStream1.Pvap_c[1]","MaterialStream1.Pvap_c[2]","MaterialStream1.S_p[1]","MaterialStream1.S_p[2]","MaterialStream1.S_p[3]","MaterialStream1.S_pc[1,1]","MaterialStream1.S_pc[1,2]","MaterialStream1.S_pc[2,1]","MaterialStream1.S_pc[2,2]","MaterialStream1.S_pc[3,1]","MaterialStream1.S_pc[3,2]","MaterialStream1.Sres_p[1]","MaterialStream1.Sres_p[2]","MaterialStream1.Sres_p[3]","MaterialStream1.T","MaterialStream1.gma_c[1]","MaterialStream1.gma_c[2]","MaterialStream1.gmabubl_c[1]","MaterialStream1.gmabubl_c[2]","MaterialStream1.gmadew_c[1]","MaterialStream1.gmadew_c[2]","MaterialStream1.philiqbubl_c[1]","MaterialStream1.philiqbubl_c[2]","MaterialStream1.phivapdew_c[1]","MaterialStream1.phivapdew_c[2]","MaterialStream1.x_pc[1,1]","MaterialStream1.x_pc[1,2]","MaterialStream1.x_pc[2,1]","MaterialStream1.x_pc[2,2]","MaterialStream1.x_pc[3,1]","MaterialStream1.x_pc[3,2]","MaterialStream1.xliq","MaterialStream1.xm_pc[1,1]","MaterialStream1.xm_pc[1,2]","MaterialStream1.xm_pc[2,1]","MaterialStream1.xm_pc[2,2]","MaterialStream1.xm_pc[3,1]","MaterialStream1.xm_pc[3,2]","MaterialStream1.xmliq","MaterialStream1.xmvap","MaterialStream2.Cp_p[1]","MaterialStream2.Cp_p[2]","MaterialStream2.Cp_p[3]","MaterialStream2.Cp_pc[1,1]","MaterialStream2.Cp_pc[1,2]","MaterialStream2.Cp_pc[2,1]","MaterialStream2.Cp_pc[2,2]","MaterialStream2.Cp_pc[3,1]","MaterialStream2.Cp_pc[3,2]","MaterialStream2.Cpres_p[1]","MaterialStream2.Cpres_p[2]","MaterialStream2.Cpres_p[3]","MaterialStream2.F_p[1]","MaterialStream2.F_p[2]","MaterialStream2.F_p[3]","MaterialStream2.F_pc[1,1]","MaterialStream2.F_pc[1,2]","MaterialStream2.F_pc[2,1]","MaterialStream2.F_pc[2,2]","MaterialStream2.F_pc[3,1]","MaterialStream2.F_pc[3,2]","MaterialStream2.Fm_p[1]","MaterialStream2.Fm_p[2]","MaterialStream2.Fm_p[3]","MaterialStream2.Fm_pc[1,1]","MaterialStream2.Fm_pc[1,2]","MaterialStream2.Fm_pc[2,1]","MaterialStream2.Fm_pc[2,2]","MaterialStream2.Fm_pc[3,1]","MaterialStream2.Fm_pc[3,2]","MaterialStream2.H_p[1]","MaterialStream2.H_p[2]","MaterialStream2.H_p[3]","MaterialStream2.H_pc[1,1]","MaterialStream2.H_pc[1,2]","MaterialStream2.H_pc[2,1]","MaterialStream2.H_pc[2,2]","MaterialStream2.H_pc[3,1]","MaterialStream2.H_pc[3,2]","MaterialStream2.Hres_p[1]","MaterialStream2.Hres_p[2]","MaterialStream2.Hres_p[3]","MaterialStream2.K_c[1]","MaterialStream2.K_c[2]","MaterialStream2.MW_p[1]","MaterialStream2.MW_p[2]","MaterialStream2.MW_p[3]","MaterialStream2.P","MaterialStream2.Pbubl","MaterialStream2.Pdew","MaterialStream2.Pvap_c[1]","MaterialStream2.Pvap_c[2]","MaterialStream2.S_p[1]","MaterialStream2.S_p[2]","MaterialStream2.S_p[3]","MaterialStream2.S_pc[1,1]","MaterialStream2.S_pc[1,2]","MaterialStream2.S_pc[2,1]","MaterialStream2.S_pc[2,2]","MaterialStream2.S_pc[3,1]","MaterialStream2.S_pc[3,2]","MaterialStream2.Sres_p[1]","MaterialStream2.Sres_p[2]","MaterialStream2.Sres_p[3]","MaterialStream2.T","MaterialStream2.gma_c[1]","MaterialStream2.gma_c[2]","MaterialStream2.gmabubl_c[1]","MaterialStream2.gmabubl_c[2]","MaterialStream2.gmadew_c[1]","MaterialStream2.gmadew_c[2]","MaterialStream2.philiqbubl_c[1]","MaterialStream2.philiqbubl_c[2]","MaterialStream2.phivapdew_c[1]","MaterialStream2.phivapdew_c[2]","MaterialStream2.x_pc[1,1]","MaterialStream2.x_pc[1,2]","MaterialStream2.x_pc[2,1]","MaterialStream2.x_pc[2,2]","MaterialStream2.x_pc[3,1]","MaterialStream2.x_pc[3,2]","MaterialStream2.xliq","MaterialStream2.xm_pc[1,1]","MaterialStream2.xm_pc[1,2]","MaterialStream2.xm_pc[2,1]","MaterialStream2.xm_pc[2,2]","MaterialStream2.xm_pc[3,1]","MaterialStream2.xm_pc[3,2]","MaterialStream2.xmliq","MaterialStream2.xmvap","MaterialStream3.Cp_p[1]","MaterialStream3.Cp_p[2]","MaterialStream3.Cp_p[3]","MaterialStream3.Cp_pc[1,1]","MaterialStream3.Cp_pc[1,2]","MaterialStream3.Cp_pc[2,1]","MaterialStream3.Cp_pc[2,2]","MaterialStream3.Cp_pc[3,1]","MaterialStream3.Cp_pc[3,2]","MaterialStream3.Cpres_p[1]","MaterialStream3.Cpres_p[2]","MaterialStream3.Cpres_p[3]","MaterialStream3.F_p[1]","MaterialStream3.F_p[2]","MaterialStream3.F_p[3]","MaterialStream3.F_pc[1,1]","MaterialStream3.F_pc[1,2]","MaterialStream3.F_pc[2,1]","MaterialStream3.F_pc[2,2]","MaterialStream3.F_pc[3,1]","MaterialStream3.F_pc[3,2]","MaterialStream3.Fm_p[1]","MaterialStream3.Fm_p[2]","MaterialStream3.Fm_p[3]","MaterialStream3.Fm_pc[1,1]","MaterialStream3.Fm_pc[1,2]","MaterialStream3.Fm_pc[2,1]","MaterialStream3.Fm_pc[2,2]","MaterialStream3.Fm_pc[3,1]","MaterialStream3.Fm_pc[3,2]","MaterialStream3.H_p[1]","MaterialStream3.H_p[2]","MaterialStream3.H_p[3]","MaterialStream3.H_pc[1,1]","MaterialStream3.H_pc[1,2]","MaterialStream3.H_pc[2,1]","MaterialStream3.H_pc[2,2]","MaterialStream3.H_pc[3,1]","MaterialStream3.H_pc[3,2]","MaterialStream3.Hres_p[1]","MaterialStream3.Hres_p[2]","MaterialStream3.Hres_p[3]","MaterialStream3.K_c[1]","MaterialStream3.K_c[2]","MaterialStream3.MW_p[1]","MaterialStream3.MW_p[2]","MaterialStream3.MW_p[3]","MaterialStream3.P","MaterialStream3.Pbubl","MaterialStream3.Pdew","MaterialStream3.Pvap_c[1]","MaterialStream3.Pvap_c[2]","MaterialStream3.S_p[1]","MaterialStream3.S_p[2]","MaterialStream3.S_p[3]","MaterialStream3.S_pc[1,1]","MaterialStream3.S_pc[1,2]","MaterialStream3.S_pc[2,1]","MaterialStream3.S_pc[2,2]","MaterialStream3.S_pc[3,1]","MaterialStream3.S_pc[3,2]","MaterialStream3.Sres_p[1]","MaterialStream3.Sres_p[2]","MaterialStream3.Sres_p[3]","MaterialStream3.T","MaterialStream3.gma_c[1]","MaterialStream3.gma_c[2]","MaterialStream3.gmabubl_c[1]","MaterialStream3.gmabubl_c[2]","MaterialStream3.gmadew_c[1]","MaterialStream3.gmadew_c[2]","MaterialStream3.philiqbubl_c[1]","MaterialStream3.philiqbubl_c[2]","MaterialStream3.phivapdew_c[1]","MaterialStream3.phivapdew_c[2]","MaterialStream3.x_pc[1,1]","MaterialStream3.x_pc[1,2]","MaterialStream3.x_pc[2,1]","MaterialStream3.x_pc[2,2]","MaterialStream3.x_pc[3,1]","MaterialStream3.x_pc[3,2]","MaterialStream3.xliq","MaterialStream3.xm_pc[1,1]","MaterialStream3.xm_pc[1,2]","MaterialStream3.xm_pc[2,1]","MaterialStream3.xm_pc[2,2]","MaterialStream3.xm_pc[3,1]","MaterialStream3.xm_pc[3,2]","MaterialStream3.xmliq","MaterialStream3.xmvap","MaterialStream3.xvap","Mixer1.xvapin_s[1]","Mixer1.xvapin_s[2]","MaterialStream1.In.F","MaterialStream1.In.H","MaterialStream1.In.P","MaterialStream1.In.S","MaterialStream1.In.T","MaterialStream1.In.x_pc[1,1]","MaterialStream1.In.x_pc[1,2]","MaterialStream1.In.x_pc[2,1]","MaterialStream1.In.x_pc[2,2]","MaterialStream1.In.x_pc[3,1]","MaterialStream1.In.x_pc[3,2]","MaterialStream1.In.xvap","MaterialStream1.Out.F","MaterialStream1.Out.H","MaterialStream1.Out.P","MaterialStream1.Out.S","MaterialStream1.Out.T","MaterialStream1.Out.x_pc[1,1]","MaterialStream1.Out.x_pc[1,2]","MaterialStream1.Out.x_pc[2,1]","MaterialStream1.Out.x_pc[2,2]","MaterialStream1.Out.x_pc[3,1]","MaterialStream1.Out.x_pc[3,2]","MaterialStream1.Out.xvap","MaterialStream1.xvap","MaterialStream2.In.F","MaterialStream2.In.H","MaterialStream2.In.P","MaterialStream2.In.S","MaterialStream2.In.T","MaterialStream2.In.x_pc[1,1]","MaterialStream2.In.x_pc[1,2]","MaterialStream2.In.x_pc[2,1]","MaterialStream2.In.x_pc[2,2]","MaterialStream2.In.x_pc[3,1]","MaterialStream2.In.x_pc[3,2]","MaterialStream2.In.xvap","MaterialStream2.Out.F","MaterialStream2.Out.H","MaterialStream2.Out.P","MaterialStream2.Out.S","MaterialStream2.Out.T","MaterialStream2.Out.x_pc[1,1]","MaterialStream2.Out.x_pc[1,2]","MaterialStream2.Out.x_pc[2,1]","MaterialStream2.Out.x_pc[2,2]","MaterialStream2.Out.x_pc[3,1]","MaterialStream2.Out.x_pc[3,2]","MaterialStream2.Out.xvap","MaterialStream2.xvap","MaterialStream3.In.F","MaterialStream3.In.H","MaterialStream3.In.P","MaterialStream3.In.S","MaterialStream3.In.T","MaterialStream3.In.x_pc[1,1]","MaterialStream3.In.x_pc[1,2]","MaterialStream3.In.x_pc[2,1]","MaterialStream3.In.x_pc[2,2]","MaterialStream3.In.x_pc[3,1]","MaterialStream3.In.x_pc[3,2]","MaterialStream3.In.xvap","MaterialStream3.Out.F","MaterialStream3.Out.H","MaterialStream3.Out.P","MaterialStream3.Out.S","MaterialStream3.Out.T","MaterialStream3.Out.x_pc[1,1]","MaterialStream3.Out.x_pc[1,2]","MaterialStream3.Out.x_pc[2,1]","MaterialStream3.Out.x_pc[2,2]","MaterialStream3.Out.x_pc[3,1]","MaterialStream3.Out.x_pc[3,2]","MaterialStream3.Out.xvap","Mixer1.Fin_s[1]","Mixer1.Fin_s[2]","Mixer1.Fout","Mixer1.Hin_s[1]","Mixer1.Hin_s[2]","Mixer1.Hout","Mixer1.In[1].F","Mixer1.In[2].F","Mixer1.In[1].H","Mixer1.In[2].H","Mixer1.In[1].P","Mixer1.In[2].P","Mixer1.In[1].S","Mixer1.In[2].S","Mixer1.In[1].T","Mixer1.In[2].T","Mixer1.In[1].x_pc[1,1]","Mixer1.In[1].x_pc[1,2]","Mixer1.In[1].x_pc[2,1]","Mixer1.In[1].x_pc[2,2]","Mixer1.In[1].x_pc[3,1]","Mixer1.In[1].x_pc[3,2]","Mixer1.In[2].x_pc[1,1]","Mixer1.In[2].x_pc[1,2]","Mixer1.In[2].x_pc[2,1]","Mixer1.In[2].x_pc[2,2]","Mixer1.In[2].x_pc[3,1]","Mixer1.In[2].x_pc[3,2]","Mixer1.In[1].xvap","Mixer1.In[2].xvap","Mixer1.Out.F","Mixer1.Out.H","Mixer1.Out.P","Mixer1.Out.S","Mixer1.Out.T","Mixer1.Out.x_pc[1,1]","Mixer1.Out.x_pc[1,2]","Mixer1.Out.x_pc[2,1]","Mixer1.Out.x_pc[2,2]","Mixer1.Out.x_pc[3,1]","Mixer1.Out.x_pc[3,2]","Mixer1.Out.xvap","Mixer1.Pin[1]","Mixer1.Pin[2]","Mixer1.Pout","Mixer1.Sin_s[1]","Mixer1.Sin_s[2]","Mixer1.Sout","Mixer1.Tin_s[1]","Mixer1.Tin_s[2]","Mixer1.Tout","Mixer1.xin_sc[1,1]","Mixer1.xin_sc[1,2]","Mixer1.xin_sc[2,1]","Mixer1.xin_sc[2,2]","Mixer1.xout_c[1]","Mixer1.xout_c[2]","Mixer1.xvapout"
0,131.6502247571436,131.6502247571436,0,92.15515733000052,39.49506742714308,125.6421229036741,145.6691290819058,67.50909747055538,87.06931443952782,0,0,0,100,100,0,70,30,70,30,0,0,8232.210000000001,8232.210000000001,0,5467.980000000001,2764.23,5467.980000000001,2764.23,0,0,-41525.43131621432,-41525.43131621432,-0,-29067.80192135002,-12457.6293948643,-39898.97014340589,-45320.50738610067,-3613.011213115165,-4614.498981973638,0,0,0,0.00771263974743695,0.001935698627425346,82.32210000000001,82.32210000000001,0,101325,605.8786547134962,412.3211540978327,781.483222409049,196.1346634238732,-131.0942057597391,-131.0942057597391,0,-91.76594403181737,-39.32826172792174,-129.000739335162,-135.9789607504191,0,0,0,0,0,250,1,1,1,1,1,1,1,1,1,1,0.7,0.3,0.7,0.3,0,0,1,0.6642177495472054,0.3357822504527945,0.6642177495472054,0.3357822504527945,-0,-0,1,0,147.1475095613451,147.1475095613451,0,73.57375478067253,73.57375478067253,136.9588848801467,157.3361342425434,83.17246431516816,105.3119109922569,0,0,0,100,100,0,50,50,50,50,0,0,8512.75,8512.75,0,3905.7,4607.05,3905.7,4607.05,0,0,-35675.26175312842,-35675.26175312842,0,-17837.63087656421,-17837.63087656421,-33555.70282422072,-37794.82068203612,153.3331812047185,194.2025690335426,0,0,0,0.1346239765403873,0.04067641576813465,85.1275,85.1275,0,101325,8881.156125330494,6330.365888182562,13640.77442295474,4121.537827706243,-113.1526034904485,-113.1526034904485,0,-56.57630174522426,-56.57630174522426,-106.087617800034,-120.217589180863,0,0,0,0,0,300,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0,0,1,0.4588059087838831,0.5411940912161171,0.4588059087838831,0.5411940912161171,-0,-0,1,0,139.4717949340013,139.4717949340013,0,83.68307696040075,55.78871797360051,131.5073487943176,151.4184641435268,75.72426627859971,96.63650419743419,0,0,0,200,200,0,120,80,120,80,0,0,16744.96,16744.96,0,9373.68,7371.280000000001,9373.68,7371.280000000001,0,0,-38600.34653467137,-38600.34653467137,-0,-23160.20792080282,-15440.13861386855,-36678.65244361567,-41482.88767125493,-1730.837260891955,-2200.446820093157,0,0,0,0.04052701223862137,0.01110897905819726,83.7248,83.7248,0,101325,2914.086630275721,1994.121467366798,4106.39951507831,1125.617303071838,-120.4917918604951,-120.4917918604951,0,-72.29507511629703,-48.19671674419803,-116.2188092814695,-126.9012657290334,0,0,0,0,0,276.2851035154675,1,1,1,1,1,1,1,1,1,1,0.6,0.4,0.6,0.4,0,0,1,0.5597911252102126,0.4402088747897875,0.5597911252102126,0.4402088747897875,-0,-0,1,0,0,0,0,100,-41525.43131621432,101325,-131.0942057597391,250,0.7,0.3,0.7,0.3,0,0,0,100,-41525.43131621432,101325,-131.0942057597391,250,0.7,0.3,0.7,0.3,0,0,0,0,100,-35675.26175312842,101325,-113.1526034904485,300,0.5,0.5,0.5,0.5,0,0,0,100,-35675.26175312842,101325,-113.1526034904485,300,0.5,0.5,0.5,0.5,0,0,0,0,200,-38600.34653467137,101325,-120.4917918604951,276.2851035154675,0.6,0.4,0.6,0.4,0,0,0,200,-38600.34653467137,101325,-120.4917918604951,276.2851035154675,0.6,0.4,0.6,0.4,0,0,0,100,100,200,-41525.43131621432,-35675.26175312842,-38600.34653467137,100,100,-41525.43131621432,-35675.26175312842,101325,101325,-131.0942057597391,-113.1526034904485,250,300,0.7,0.3,0.7,0.3,0,0,0.5,0.5,0.5,0.5,0,0,0,0,200,-38600.34653467137,101325,-120.4917918604951,276.2851035154675,0.6,0.4,0.6,0.4,0,0,0,101325,101325,101325,-131.0942057597391,-113.1526034904485,-120.4917918604951,250,300,276.2851035154675,0.7,0.3,0.5,0.5,0.6,0.4,0
1,131.6502247571436,131.6502247571436,0,92.15515733000052,39.49506742714308,125.6421229036741,145.6691290819058,67.50909747055538,87.06931443952782,0,0,0,100,100,0,70,30,70,30,0,0,8232.210000000001,8232.210000000001,0,5467.980000000001,2764.23,5467.980000000001,2764.23,0,0,-41525.43131621432,-41525.43131621432,-0,-29067.80192135002,-12457.6293948643,-39898.97014340589,-45320.50738610067,-3613.011213115165,-4614.498981973638,0,0,0,0.00771263974743695,0.001935698627425346,82.32210000000001,82.32210000000001,0,101325,605.8786547134962,412.3211540978327,781.483222409049,196.1346634238732,-131.0942057597391,-131.0942057597391,0,-91.76594403181737,-39.32826172792174,-129.000739335162,-135.9789607504191,0,0,0,0,0,250,1,1,1,1,1,1,1,1,1,1,0.7,0.3,0.7,0.3,0,0,1,0.6642177495472054,0.3357822504527945,0.6642177495472054,0.3357822504527945,-0,-0,1,0,147.1475095613451,147.1475095613451,0,73.57375478067253,73.57375478067253,136.9588848801467,157.3361342425434,83.17246431516816,105.3119109922569,0,0,0,100,100,0,50,50,50,50,0,0,8512.75,8512.75,0,3905.7,4607.05,3905.7,4607.05,0,0,-35675.26175312842,-35675.26175312842,0,-17837.63087656421,-17837.63087656421,-33555.70282422072,-37794.82068203612,153.3331812047185,194.2025690335426,0,0,0,0.1346239765403873,0.04067641576813465,85.1275,85.1275,0,101325,8881.156125330494,6330.365888182562,13640.77442295474,4121.537827706243,-113.1526034904485,-113.1526034904485,0,-56.57630174522426,-56.57630174522426,-106.087617800034,-120.217589180863,0,0,0,0,0,300,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0,0,1,0.4588059087838831,0.5411940912161171,0.4588059087838831,0.5411940912161171,-0,-0,1,0,139.4717949340013,139.4717949340013,0,83.68307696040075,55.78871797360051,131.5073487943176,151.4184641435268,75.72426627859971,96.63650419743419,0,0,0,200,200,0,120,80,120,80,0,0,16744.96,16744.96,0,9373.68,7371.280000000001,9373.68,7371.280000000001,0,0,-38600.34653467137,-38600.34653467137,-0,-23160.20792080282,-15440.13861386855,-36678.65244361567,-41482.88767125493,-1730.837260891955,-2200.446820093157,0,0,0,0.04052701223862137,0.01110897905819726,83.7248,83.7248,0,101325,2914.086630275721,1994.121467366798,4106.39951507831,1125.617303071838,-120.4917918604951,-120.4917918604951,0,-72.29507511629703,-48.19671674419803,-116.2188092814695,-126.9012657290334,0,0,0,0,0,276.2851035154675,1,1,1,1,1,1,1,1,1,1,0.6,0.4,0.6,0.4,0,0,1,0.5597911252102126,0.4402088747897875,0.5597911252102126,0.4402088747897875,-0,-0,1,0,0,0,0,100,-41525.43131621432,101325,-131.0942057597391,250,0.7,0.3,0.7,0.3,0,0,0,100,-41525.43131621432,101325,-131.0942057597391,250,0.7,0.3,0.7,0.3,0,0,0,0,100,-35675.26175312842,101325,-113.1526034904485,300,0.5,0.5,0.5,0.5,0,0,0,100,-35675.26175312842,101325,-113.1526034904485,300,0.5,0.5,0.5,0.5,0,0,0,0,200,-38600.34653467137,101325,-120.4917918604951,276.2851035154675,0.6,0.4,0.6,0.4,0,0,0,200,-38600.34653467137,101325,-120.4917918604951,276.2851035154675,0.6,0.4,0.6,0.4,0,0,0,100,100,200,-41525.43131621432,-35675.26175312842,-38600.34653467137,100,100,-41525.43131621432,-35675.26175312842,101325,101325,-131.0942057597391,-113.1526034904485,250,300,0.7,0.3,0.7,0.3,0,0,0.5,0.5,0.5,0.5,0,0,0,0,200,-38600.34653467137,101325,-120.4917918604951,276.2851035154675,0.6,0.4,0.6,0.4,0,0,0,101325,101325,101325,-131.0942057597391,-113.1526034904485,-120.4917918604951,250,300,276.2851035154675,0.7,0.3,0.5,0.5,0.6,0.4,0
1,131.6502247571436,131.6502247571436,0,92.15515733000052,39.49506742714308,125.6421229036741,145.6691290819058,67.50909747055538,87.06931443952782,0,0,0,100,100,0,70,30,70,30,0,0,8232.210000000001,8232.210000000001,0,5467.980000000001,2764.23,5467.980000000001,2764.23,0,0,-41525.43131621432,-41525.43131621432,-0,-29067.80192135002,-12457.6293948643,-39898.97014340589,-45320.50738610067,-3613.011213115165,-4614.498981973638,0,0,0,0.00771263974743695,0.001935698627425346,82.32210000000001,82.32210000000001,0,101325,605.8786547134962,412.3211540978327,781.483222409049,196.1346634238732,-131.0942057597391,-131.0942057597391,0,-91.76594403181737,-39.32826172792174,-129.000739335162,-135.9789607504191,0,0,0,0,0,250,1,1,1,1,1,1,1,1,1,1,0.7,0.3,0.7,0.3,0,0,1,0.6642177495472054,0.3357822504527945,0.6642177495472054,0.3357822504527945,-0,-0,1,0,147.1475095613451,147.1475095613451,0,73.57375478067253,73.57375478067253,136.9588848801467,157.3361342425434,83.17246431516816,105.3119109922569,0,0,0,100,100,0,50,50,50,50,0,0,8512.75,8512.75,0,3905.7,4607.05,3905.7,4607.05,0,0,-35675.26175312842,-35675.26175312842,0,-17837.63087656421,-17837.63087656421,-33555.70282422072,-37794.82068203612,153.3331812047185,194.2025690335426,0,0,0,0.1346239765403873,0.04067641576813465,85.1275,85.1275,0,101325,8881.156125330494,6330.365888182562,13640.77442295474,4121.537827706243,-113.1526034904485,-113.1526034904485,0,-56.57630174522426,-56.57630174522426,-106.087617800034,-120.217589180863,0,0,0,0,0,300,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0,0,1,0.4588059087838831,0.5411940912161171,0.4588059087838831,0.5411940912161171,-0,-0,1,0,139.4717949340013,139.4717949340013,0,83.68307696040075,55.78871797360051,131.5073487943176,151.4184641435268,75.72426627859971,96.63650419743419,0,0,0,200,200,0,120,80,120,80,0,0,16744.96,16744.96,0,9373.68,7371.280000000001,9373.68,7371.280000000001,0,0,-38600.34653467137,-38600.34653467137,-0,-23160.20792080282,-15440.13861386855,-36678.65244361567,-41482.88767125493,-1730.837260891955,-2200.446820093157,0,0,0,0.04052701223862137,0.01110897905819726,83.7248,83.7248,0,101325,2914.086630275721,1994.121467366798,4106.39951507831,1125.617303071838,-120.4917918604951,-120.4917918604951,0,-72.29507511629703,-48.19671674419803,-116.2188092814695,-126.9012657290334,0,0,0,0,0,276.2851035154675,1,1,1,1,1,1,1,1,1,1,0.6,0.4,0.6,0.4,0,0,1,0.5597911252102126,0.4402088747897875,0.5597911252102126,0.4402088747897875,-0,-0,1,0,0,0,0,100,-41525.43131621432,101325,-131.0942057597391,250,0.7,0.3,0.7,0.3,0,0,0,100,-41525.43131621432,101325,-131.0942057597391,250,0.7,0.3,0.7,0.3,0,0,0,0,100,-35675.26175312842,101325,-113.1526034904485,300,0.5,0.5,0.5,0.5,0,0,0,100,-35675.26175312842,101325,-113.1526034904485,300,0.5,0.5,0.5,0.5,0,0,0,0,200,-38600.34653467137,101325,-120.4917918604951,276.2851035154675,0.6,0.4,0.6,0.4,0,0,0,200,-38600.34653467137,101325,-120.4917918604951,276.2851035154675,0.6,0.4,0.6,0.4,0,0,0,100,100,200,-41525.43131621432,-35675.26175312842,-38600.34653467137,100,100,-41525.43131621432,-35675.26175312842,101325,101325,-131.0942057597391,-113.1526034904485,250,300,0.7,0.3,0.7,0.3,0,0,0.5,0.5,0.5,0.5,0,0,0,0,200,-38600.34653467137,101325,-120.4917918604951,276.2851035154675,0.6,0.4,0.6,0.4,0,0,0,101325,101325,101325,-131.0942057597391,-113.1526034904485,-120.4917918604951,250,300,276.2851035154675,0.7,0.3,0.5,0.5,0.6,0.4,0
