CAS,Name,Molecular Formulae,Molecular Weight
99-94-5,P-toluic acid,CH3(C6H4)COOH,136.1479
69-72-7,Salicylic acid,HO(C6H4)COOH,138.1207
124-04-9,Adipic acid,HOOC(CH2)4COOH,146.1412
88-99-3,Phthalic acid,COOH(C6H4)COOH,166.1308
110-16-7,Maleic acid,HOOCCHCHCOOH,116.0722
100-21-0,Terephthalic acid,COOH(C6H4)COOH,166.1308
108-24-7,Acetic anhydride,CH3COOOCCH3,102.0886
108-31-6,Maleic anhydride,-CHCOOCOCH-,98.05688
463-51-4,Ketene,CH2CO,42.03668
80-62-6,Methyl methacrylate,CH2C(CH3)COOCH3,100.1158
120-61-6,Dimethyl terephthalate,C6H4(COOCH3)2,194.184
75-56-9,"1,2-propylene oxide",CH3-CHCH2O-,58.07804
80-15-9,Cumene hydroperoxide,(C6H5)C(CH3)2OOH,152.1904
107-12-0,Propionitrile,CH3CH2CN,55.0785
616-38-6,Dimethyl carbonate,(CH3O)2CO,90.07794
105-58-8,DiEthyl Carbonate,CH3CH2(OCOO)CH2CH3,118.1311
623-53-0,Methyl Ethyl Carbonate,CH3(OCOO)CH2CH3,104.1045
13509-27-8,Methyl Phenyl Carbonate,CH3(OCOO)C6H5,152.1473
3878-46-4,Ethyl Phenyl Carbonate,CH3CH2(OCOO)C6H5,166.1739
102-09-0,DiPhenyl Carbonate,(C6H5)2(OCOO),214.2167
96-49-1,Ethylene carbonate,-CH2OCOOCH2-,88.06207
108-32-7,Propylene carbonate,-OCH(CH3)CH2OCO-,102.0886
15870-10-7,2-methyl-1-heptene,CH2C(CH3)CH2(CH2)3CH3,112.2126
76589-16-7,2-Methoxy-2-Methyl-Heptane,(CH3O)(CH3)2 C(CH2)4 CH3,144.2545
625-25-2,2-Methyl-2-Heptanol,(CH3)2(OH)C(CH2)4CH3,130.2279
109-87-5,Methylal,CH3OCH2OCH3,76.09442
105-59-9,Methyl DiEthanolAmine,CH3N(CH2CH2OH)2,119.1622
100-37-8,Diethylethanolamine,HOCH2CH2N(CH2CH3)2,117.1894
110-97-4,Diisopropanolamine,CH3CH(OH)CH2NHCH2CH(OH)CH3,133.1888
287-23-0,Cyclobutane,-(CH2)4-,56.10632
75-33-2,Isopropyl mercaptan,(CH3)2CHSH,76.16061
56-81-5,Glycerol,HOCH2CH(OH)CH2OH,92.09382
112-95-8,N-eicosane,CH3(CH2)18CH3,282.5475
542-52-9,DiButyl Carbonate,CH3CH2CH2CH2(OCOO)CH2CH2CH2CH3,174.2374
