CAS,Name,Molecular Formulae,Molecular Weight
563-80-4,Methyl isopropyl ketone,CH3CH(CH3)COCH3,86.1323
109-60-4,N-propyl acetate,CH3COO(CH2)2CH3,102.1317
78-78-4,Isopentane,CH3CH(CH3)CH2CH3,72.14878
109-66-0,N-pentane,CH3(CH2)3CH3,72.14878
463-82-1,Neopentane,C(CH3)4,72.14878
120-82-1,"1,2,4-trichlorobenzene",(C6H3)Cl3,181.447
541-73-1,M-dichlorobenzene,(C6H4)Cl2,147.002
95-50-1,O-dichlorobenzene,(C6H4)Cl2,147.002
106-46-7,P-dichlorobenzene,(C6H4)Cl2,147.002
108-86-1,Bromobenzene,(C6H5)Br,157.0079
108-90-7,Monochlorobenzene,C6H5Cl,112.5569
591-50-4,Iodobenzene,C6H5I,204.0084
98-95-3,Nitrobenzene,C6H5NO2,123.1094
71-43-2,Benzene,-CHCHCHCHCHCH-,78.11184
108-95-2,Phenol,(C6H5)OH,94.11124
62-53-3,Aniline,C6H5NH2,93.12648
108-94-1,Cyclohexanone,-CH2CO(CH2)3CH2-,98.143
110-82-7,Cyclohexane,-(CH2)6-,84.15948
592-41-6,1-hexene,CH2CH(CH2)3CH3,84.15948
96-37-7,Methylcyclopentane,(C5H9)CH3,84.15948
108-93-0,Cyclohexanol,-CH(OH)(CH2)4CH2-,100.1589
75-83-2,"2,2-dimethylbutane",CH3CH2C(CH3)3,86.17536
79-29-8,"2,3-dimethylbutane",(CH3)2CHCH(CH3)2,86.17536
110-54-3,N-hexane,CH3(CH2)4CH3,86.17536
107-83-5,2-methylpentane,CH3CH2CH2CH(CH3)2,86.17536
96-14-0,3-methylpentane,CH3CH2CH(CH3)CH2CH3,86.17536
112-27-6,Triethylene glycol,HOCH2CH2OCH2CH2OCH2CH2OH,150.173
121-44-8,Triethylamine,(C2H5)3N,101.19
108-88-3,Toluene,(C6H5)CH3,92.13843
108-39-4,M-cresol,CH3(C6H4)OH,108.1378
95-48-7,O-cresol,CH3(C6H4)OH,108.1378
106-44-5,P-cresol,CH3(C6H4)OH,108.1378
108-87-2,Methylcyclohexane,(C6H11)CH3,98.18607
1640-89-7,Ethylcyclopentane,(C5H9)CH2CH3,98.18607
592-76-7,1-heptene,CH2CH(CH2)4CH3,98.18607
142-82-5,N-heptane,CH3(CH2)5CH3,100.202
100-42-5,Styrene,(C6H5)CHCH2,104.149
100-41-4,Ethylbenzene,(C6H5)CH2CH3,106.165
108-38-3,M-xylene,CH3(C6H4)CH3,106.165
95-47-6,O-xylene,CH3(C6H4)CH3,106.165
106-42-3,P-xylene,CH3(C6H4)CH3,106.165
1678-91-7,Ethylcyclohexane,(C6H11)CH2CH3,112.2126
2040-96-2,N-propylcyclopentane,(C5H9)CH2CH2CH3,112.2126
111-65-9,N-octane,CH3(CH2)6CH3,114.2285
564-02-3,"2,2,3-trimethylpentane",CH3C(CH3)2CH(CH3)CH2CH3,114.2285
540-84-1,"2,2,4-trimethylpentane",(CH3)3CCH2CH(CH3)2,114.2285
560-21-4,"2,3,3-trimethylpentane",CH3CH(CH3)C(CH3)2CH2CH3,114.2285
565-75-3,"2,3,4-trimethylpentane",CH3CH(CH3)CH(CH3)CH(CH3)CH3,114.2285
112-60-7,Tetraethylene glycol,HOCH2(CH2OCH2)3CH2OH,194.2255
95-13-6,Indene,C6H4(CH2CHCH),116.1598
496-11-7,Indane,C6H4(CH2)3,118.1757
98-82-8,Cumene,(C6H5)CH(CH3)2,120.1916
103-65-1,N-propylbenzene,(C6H5)CH2CH2CH3,120.1916
1678-92-8,N-propylcyclohexane,(C6H11)CH2CH2CH3,126.2392
111-84-2,N-nonane,CH3(CH2)7CH3,128.2551
91-20-3,Naphthalene,(C6H4)(C4H4),128.1705
767-59-9,1-methylindene,CH3(C9H7),130.1864
2177-47-1,2-methylindene,CH3(C9H7),130.1864
77-73-6,Dicyclopentadiene,C10H12,132.2023
104-51-8,N-butylbenzene,(C6H5)(CH2)3CH3,134.2182
1678-93-9,N-butylcyclohexane,(C6H11)CH2CH2CH2CH3,140.2658
124-18-5,N-decane,CH3(CH2)8CH3,142.2817
90-12-0,1-methylnaphthalene,(C6H4)(C4H3)CH3,142.1971
91-57-6,2-methylnaphthalene,(C6H4)(C4H3)CH3,142.1971
1120-21-4,N-undecane,CH3(CH2)9CH3,156.3083
83-32-9,Acenaphthene,C12H10,154.2078
92-52-4,Biphenyl,(C6H5)2,154.2078
112-40-3,N-dodecane,CH3(CH2)10CH3,170.3348
